ID	Name
NC_001330	Enterobacteria phage alpha3, complete genome.
NC_001331	Pseudomonas phage Pf1, complete genome.
NC_001332	Enterobacteria phage I2-2, complete genome.
NC_001335	Mycobacterium phage L5 complete genome.
NC_001338	Sulfolobus virus 1 complete genome (provirus).
NC_001341	Acholeplasma phage MV-L1, complete genome.
NC_001365	Spiroplasma phage 1-R8A2B, complete genome.
NC_001396	Xanthomonas phage Cf1c, complete genome.
NC_002014	Enterobacteria phage Ike, complete genome.
NC_001416	Enterobacteria phage lambda, complete genome.
NC_001418	Pseudomonas phage Pf3, complete genome.
NC_001422	Coliphage phi-X174, complete genome.
NC_001426	Enterobacteria phage GA, complete genome.
NC_001447	Acholeplasma phage L2, complete genome.
NC_001604	Enterobacteria phage T7, complete genome.
NC_001609	Enterobacteria phage P4, complete genome.
NC_001628	Pseudomonas phage PP7, complete genome.
NC_001629	Lactococcus phage bIL67, complete genome.
NC_001697	Haemophilus phage HP1, complete genome.
NC_001706	Lactococcus phage c2, complete genome.
NC_001741	Chlamydia phage Chp1, complete genome.
NC_001825	Streptococcus phage Cp-1, complete genome.
NC_001835	Lactococcus phage sk1, complete genome.
NC_001884	Bacillus phage SPBc2, complete genome.
NC_001890	Enterobacteria phage Qbeta, complete genome.
NC_001895	Enterobacteria phage P2, complete genome.
NC_001900	Mycobacterium phage D29, complete genome.
NC_001901	Bacteriophage N15, complete genome.
NC_001902	Methanobacterium phage psiM2, complete genome.
NC_001909	Lactococcus phage bIL170, complete genome.
NC_001942	Mycoplasma phage MAV1, complete genome.
NC_001954	Enterobacteria phage If1, complete genome.
NC_001956	Vibrio phage fs2, complete genome.
NC_001998	Guinea pig Chlamydia phage, complete genome.
NC_000924	Enterobacteria phage 933W, complete genome.
NC_000867	Pseudoalteromonas phage PM2, complete genome.
NC_000871	Streptococcus phage Sfi19, complete genome.
NC_000872	Streptococcus phage Sfi21, complete genome.
NC_000896	Lactobacillus prophage phiadh, complete genome.
NC_000902	Enterobacteria phage VT2-Sakai, complete genome.
NC_000929	Enterobacteria phage Mu, complete genome.
NC_000935	Acyrthosiphon pisum bacteriophage APSE-1, complete genome.
NC_001271	Yersinia phage phiYeO3-12, complete genome.
NC_002166	Bacteriophage HK022, complete genome.
NC_002167	Enterobacteria phage HK97, complete genome.
NC_002185	Streptococcus phage 7201, complete genome.
NC_002194	Chlamydia phage Chp2, complete genome.
NC_002214	Streptococcus thermophilus bacteriophage Sfi11, complete genome.
NC_002321	Staphylococcus phage PVL proviral DNA, complete sequence.
NC_002362	Vibrio phage VfO3K6, complete genome.
NC_002363	Vibrio phage VfO4K68, complete genome.
NC_002486	Staphylococcus prophage phiPV83, complete genome.
NC_002180	Chlamydia phage phiCPAR39, complete sequence.
NC_002515	Mycoplasma phage P1, complete genome.
NC_002519	Roseophage SIO1 complete genome.
NC_002643	Bdellovibrio phage phiMH2K, complete genome.
NC_002649	Bacillus phage GA-1, complete genome.
NC_002656	Mycobacterium phage Bxb1, complete genome.
NC_002670	Lactococcus prophage bIL311, complete genome.
NC_002666	Lactococcus prophage bIL285, complete genome.
NC_002667	Lactococcus prophage bIL286, complete genome.
NC_002668	Lactococcus prophage bIL309, complete genome.
NC_002669	Lactococcus prophage bIL310, complete genome.
NC_002671	Lactococcus prophage bIL312, complete genome.
NC_002703	Lactococcus phage Tuc2009, complete genome.
NC_002730	Enterobacteria phage HK620, complete genome.
NC_002747	Lactococcus phage TP901-1, complete genome.
NC_002796	Lactococcus phage BK5-T, complete genome.
NC_003085	Myxococcus phage Mx8, complete genome.
NC_003216	Listeria phage A118, complete genome.
NC_003278	Pseudomonas phage phiCTX, complete genome.
NC_003288	Staphylococcus phage phiETA, complete genome.
NC_003298	Enterobacteria phage T3, complete genome.
NC_003313	Vibrio phage K139, complete genome.
NC_003309	Burkholderia phage phiE125, complete genome.
NC_003315	Haemophilus phage HP2, complete genome.
NC_003324	Sinorhizobium phage PBC5, complete genome.
NC_003345	Halorubrum phage HF2, complete genome.
NC_003356	Enterobacteria phage phiP27, complete genome.
NC_003387	Mycobacterium phage TM4, complete genome.
NC_003438	Spiroplasma phage 4, complete genome.
NC_003444	Enterobacteria phage SfV, complete genome.
NC_003460	Propionibacterium phage B5, complete genome.
NC_003524	Clostridium phage phi3626, complete genome.
NC_003793	Spiroplasma phage 1-C74, complete genome.
NC_004066	Lactococcus phage ul36, complete genome.
NC_004084	Natrialba phage PhiCh1, complete genome.
NC_004087	Sulfolobus islandicus rod-shaped virus 1, complete genome.
NC_004086	Sulfolobus islandicus rod-shaped virus 2, complete genome.
NC_004112	Lactobacillus phage A2, complete genome.
NC_004167	Bacteriophage phi-105 DNA, complete sequence.
NC_004165	Bacillus phage B103, complete genome.
NC_004301	Bacteriophage SP genomic RNA.
NC_004302	Bacteriophage r1t integrase, repressor protein (rro), dUTPase,
NC_004305	Lactobacillus phage phig1e, complete genome.
NC_004306	Vibrio phage fs1, complete genome.
NC_004303	Streptococcus phage O1205, complete genome.
NC_004313	Salmonella phage ST64B, complete genome.
NC_004348	Enterobacteria phage ST64T, complete genome.
NC_003327	Vibrio phage VSK, complete genome.
NC_003050	Streptococcus pneumoniae bacteriophage MM1 complete genome.
NC_003907	Vibrio phage VpV262, complete genome.
NC_004456	Vibrio phage VHML, complete genome.
NC_002700	Acinetobacter phage AP205, complete genome.
NC_004615	Staphylococcus phage 11, complete genome.
NC_004616	Staphylococcus prophage phi 12, complete genome.
NC_004617	Staphylococcus prophage phi 13, complete genome.
NC_004629	Pseudomonas phage phiKZ, complete genome.
NC_002072	Streptococcus phage DT1, complete genome.
NC_000866	Enterobacteria phage T4, complete genome.
NC_004665	Pseudomonas phage gh-1, complete genome.
NC_004678	Staphylococcus phage 44AHJD, complete genome.
NC_004679	Staphylococcus phage phiP68, complete genome.
NC_004680	Mycobacterium phage Che8, complete genome.
NC_004681	Mycobacterium phage Cjw1, complete genome.
NC_004683	Mycobacterium phage Che9c, complete genome.
NC_004684	Mycobacterium phage Rosebush, complete genome.
NC_004685	Mycobacterium phage Corndog, complete genome.
NC_004687	Mycobacterium phage Bxz1, complete genome.
NC_004688	Mycobacterium phage Omega, complete genome.
NC_004689	Mycobacterium phage Barnyard, complete genome.
NC_003291	Bacteriophage PSA complete genome.
NC_004735	Rhodothermus phage RM378, complete genome.
NC_004736	Vibrio phage VGJphi, complete genome.
NC_004745	Yersinia phage L-413C, complete genome.
NC_004746	Lactococcus phage 4268, complete genome.
NC_004777	Yersinia pestis phage phiA1122, complete genome.
NC_004813	Enterobacteria phage BP-4795, complete genome.
NC_004814	Streptococcus phage C1, complete genome.
NC_004827	Bacteriophage Aaphi23, complete genome.
NC_004831	Enterobacteria phage SP6, complete genome.
NC_004902	Xanthomonas phage Xp10, complete genome.
NC_004928	Enterobacteria phage RB69, complete genome.
NC_004927	Halovirus HF1, complete genome.
NC_004996	Streptococcus phage SM1, complete genome.
NC_005045	Pseudomonas phage phiKMV, complete genome.
NC_005066	Enterobacteria phage RB49, complete genome.
NC_005069	Yersinia phage PY54, complete genome.
NC_005135	Aeromonas phage 44RR2.8t, complete genome.
NC_005178	Pseudomonas phage D3112, complete genome.
NC_005265	Sulfolobus virus 2, complete genome.
NC_005260	Aeromonas phage Aeh1, complete genome.
NC_005258	Bacillus phage Bam35c, complete genome.
NC_005282	Enterobacteria phage Felix 01, complete genome.
NC_005284	Burkholderia phage phi1026b, complete genome.
NC_005294	Streptococcus prophage EJ-1, complete genome.
NC_004466	Pseudomonas aeruginosa phage PaP3, complete genome.
NC_004664	Streptomyces phage phiBT1, complete genome.
NC_005344	Enterobacteria phage Sf6, complete genome.
NC_005340	Enterobacteria phage PsP3, complete genome.
NC_005355	Lactobacillus prophage Lj965, complete genome.
NC_005354	Lactobacillus prophage Lj928, complete genome.
NC_005357	Bordetella phage BPP-1, complete genome.
NC_005356	Staphylococcus phage 77, complete genome.
NC_005360	Sulfolobus virus Ragged Hills, complete genome.
NC_005361	Sulfolobus virus Kamchatka 1, complete genome.
NC_001270	Spiroplasma phage SVTS2, complete genome.
NC_005822	Lactococcus phage phiLC3, complete genome.
NC_005830	Acidianus filamentous virus 1, complete genome.
NC_005833	Enterobacteria phage T1, complete genome.
NC_005841	Enterobacteria phage ST104 DNA, complete genome.
NC_005856	Enterobacteria phage P1, complete genome.
NC_005859	Enterobacteria phage T5, complete genome.
NC_005857	Klebsiella phage phiKO2, complete genome.
NC_002661	Staphylococcus phage phiSLT, complete genome.
NC_005872	Pyrobaculum spherical virus, complete genome.
NC_005263	Burkholderia phage Bcep1, complete genome.
NC_004333	Burkholderia phage Bcep781, complete genome.
NC_005342	Burkholderia phage Bcep43, complete genome.
NC_005879	Vibrio phage VP2, complete genome.
NC_005891	Vibrio phage VP5, complete genome.
NC_005882	Burkholderia cenocepacia phage BcepMu, complete genome.
NC_005892	Sulfolobus turreted icosahedral virus, complete genome.
NC_005884	Pseudomonas phage PaP2, complete genome.
NC_005887	Burkholderia phage BcepC6B, complete genome.
NC_005893	Lactobacillus phage phiAT3, complete genome.
NC_005885	Actinoplanes phage phiAsp2, complete genome.
NC_005948	Vibrio phage Vf33, complete genome.
NC_002371	Enterobacteria phage P22 virus, complete genome.
NC_006268	Sulfolobus virus STSV1, complete genome.
NC_006294	Vibrio phage KSF-1phi, complete genome.
NC_005345	Streptomyces phage VWB, complete genome.
NC_006548	Pseudomonas phage B3, complete genome.
NC_006552	Pseudomonas phage F116, complete genome.
NC_006556	Thermoproteus tenax spherical virus 1, complete genome.
NC_006565	Lactobacillus phage LP65, complete genome.
NC_006557	Bacillus phage BCJA1c, complete genome.
NC_003287	Enterobacteria phage M13, complete genome.
NC_006820	Synechococcus phage S-PM2, complete genome.
NC_006936	Lactobacillus phage phiJL-1, complete genome.
NC_006938	Phage phiJL001, complete genome.
NC_006945	Bacillus phage GIL16c, complete genome.
NC_006949	Enterobacteria phage ES18, complete genome.
NC_006953	Listonella phage phiHSIC, complete genome.
NC_007021	Staphylococcus phage Twort, complete genome.
NC_007023	Enterobacteria phage RB43, complete genome.
NC_007019	Streptococcus phage 2972, complete genome.
NC_007022	Aeromonas phage 31, complete genome.
NC_007024	Xanthomonas phage Xp15, complete genome.
NC_007065	Staphylococcus phage X2, complete genome.
NC_007050	Staphylococcus phage 85, complete genome.
NC_007066	Staphylococcus phage G1, complete genome.
NC_007045	Staphylococcus phage PT1028, complete genome.
NC_007046	Staphylococcus phage 66, complete genome.
NC_007047	Staphylococcus phage 187, complete genome.
NC_007048	Staphylococcus phage 69, complete genome.
NC_007049	Staphylococcus phage 53, complete genome.
NC_007051	Staphylococcus phage 2638A, complete genome.
NC_007052	Staphylococcus phage 42e, complete genome.
