ID	Name
NC_000917	"Archaeoglobus fulgidus DSM 4304, complete genome."
NC_000912	"Mycoplasma pneumoniae M129 chromosome, complete genome."
NC_002689	"Thermoplasma volcanium GSS1 DNA, complete genome."
NC_000868	Pyrococcus abyssi complete genome.
NC_000961	"Pyrococcus horikoshii OT3 DNA, complete genome."
NC_000918	"Aquifex aeolicus VF5 chromosome, complete genome."
NC_001318	"Borrelia burgdorferi B31 chromosome, complete genome."
NC_002506	"Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II,"
NC_000963	"Rickettsia prowazekii str. Madrid E chromosome, complete genome."
NC_000117	"Chlamydia trachomatis D/UW-3/CX chromosome, complete genome."
NC_002528	"Buchnera aphidicola str. APS (Acyrthosiphon pisum) chromosome,"
NC_000922	"Chlamydophila pneumoniae CWL029 chromosome, complete genome."
NC_002505	"Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I, complete"
NC_000853	"Thermotoga maritima MSB8 chromosome, complete genome."
NC_000915	"Helicobacter pylori 26695 chromosome, complete genome."
NC_000909	"Methanocaldococcus jannaschii DSM 2661, complete genome."
NC_002662	"Lactococcus lactis subsp. lactis Il1403 chromosome, complete"
NC_000916	"Methanothermobacter thermautotrophicus str. Delta H, complete"
NC_002607	"Halobacterium sp. NRC-1, complete genome."
NC_002163	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
NC_001263	"Deinococcus radiodurans R1 chromosome 1, complete sequence."
NC_001264	"Deinococcus radiodurans R1 chromosome 2, complete sequence."
NC_002677	"Mycobacterium leprae TN chromosome, complete genome."
NC_002771	"Mycoplasma pulmonis UAB CTIP, complete genome."
NC_003103	"Rickettsia conorii str. Malish 7, complete genome."
NC_003030	"Clostridium acetobutylicum ATCC 824 chromosome, complete genome."
NC_003098	"Streptococcus pneumoniae R6 chromosome, complete genome."
NC_003047	"Sinorhizobium meliloti 1021 chromosome, complete genome."
NC_002578	Thermoplasma acidophilum DSM 1728 complete genome.
NC_003143	"Yersinia pestis CO92 chromosome, complete genome."
NC_002696	"Caulobacter crescentus CB15 chromosome, complete genome."
NC_000907	"Haemophilus influenzae Rd KW20 chromosome, complete genome."
NC_003198	"Salmonella enterica subsp. enterica serovar Typhi str. CT18,"
NC_003210	"Listeria monocytogenes EGD-e chromosome, complete genome."
NC_003295	Ralstonia solanacearum GMI1000 chromosome complete sequence.
NC_003317	"Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence."
NC_003318	"Brucella melitensis 16M chromosome II, complete sequence."
NC_003413	"Pyrococcus furiosus DSM 3638, complete genome."
NC_003454	"Fusobacterium nucleatum subsp. nucleatum ATCC 25586 chromosome,"
AE010299	"Methanosarcina acetivorans str. C2A, complete genome."
NC_003869	"Thermoanaerobacter tengcongensis MB4, complete genome."
NC_003902	"Xanthomonas campestris pv. campestris str. ATCC 33913 chromosome,"
NC_004061	"Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome."
NC_002932	"Chlorobium tepidum TLS chromosome, complete genome."
NC_004113	"Thermosynechococcus elongatus BP-1 chromosome, complete genome."
NC_004116	"Streptococcus agalactiae 2603V/R chromosome, complete genome."
NC_004193	"Oceanobacillus iheyensis HTE831 DNA, complete genome."
NC_003106	"Sulfolobus tokodaii str. 7 DNA, complete genome."
NC_004369	"Corynebacterium efficiens YS-314 DNA, complete genome."
NC_004432	"Mycoplasma penetrans HF-2 DNA, complete genome."
NC_004463	"Bradyrhizobium japonicum USDA 110 chromosome, complete genome."
NC_004461	"Staphylococcus epidermidis ATCC 12228 chromosome, complete genome."
NC_004545	"Buchnera aphidicola str. Bp (Baizongia pistaciae), complete genome."
NC_004557	"Clostridium tetani E88, complete genome."
NC_004578	"[Pseudomonas syringae] pv. tomato str. DC3000 chromosome, complete"
NC_004603	"Vibrio parahaemolyticus RIMD 2210633 chromosome 1, complete"
NC_004605	"Vibrio parahaemolyticus RIMD 2210633 chromosome 2, complete"
NC_002620	"Chlamydia muridarum Nigg, complete genome."
NC_004663	"Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome."
NC_004668	"Enterococcus faecalis V583 chromosome, complete genome."
NC_003361	"Chlamydophila caviae GPIC, complete genome."
NC_004722	"Bacillus cereus ATCC 14579 chromosome, complete genome."
NC_004757	"Nitrosomonas europaea ATCC 19718, complete genome."
NC_003997	"Bacillus anthracis str. Ames chromosome, complete genome."
NC_003888	"Streptomyces coelicolor A3(2) chromosome, complete genome."
NC_004917	"Helicobacter hepaticus ATCC 51449, complete genome."
NC_004572	"Tropheryma whipplei str. Twist, complete genome."
NC_005027	"Rhodopirellula baltica SH 1 chromosome, complete genome."
NC_004344	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
NC_002940	"[Haemophilus] ducreyi 35000HP, complete sequence."
NC_005042	Prochlorococcus marinus subsp. marinus str. CCMP1375 complete
NC_002929	"Bordetella pertussis Tohama I chromosome, complete genome."
NC_005072	Prochlorococcus marinus MED4 complete genome.
NC_005071	Prochlorococcus marinus MIT9313 complete genome.
NC_005085	"Chromobacterium violaceum ATCC 12472, complete genome."
NC_005090	"Wolinella succinogenes DSM 1740, complete genome."
NC_005125	"Gloeobacter violaceus PCC 7421 chromosome, complete genome."
NC_005296	Rhodopseudomonas palustris CGA009 complete genome.
NC_002944	"Mycobacterium avium subsp. paratuberculosis str. k10, complete"
NC_002967	"Treponema denticola ATCC 35405 chromosome, complete genome."
NC_002978	"Wolbachia endosymbiont of Drosophila melanogaster, complete genome."
NC_005363	"Bdellovibrio bacteriovorus complete genome, strain HD100."
NC_002937	"Desulfovibrio vulgaris str. Hildenborough chromosome, complete"
NC_006908	Mycoplasma mobile 163K complete genome.
NC_005877	"Picrophilus torridus DSM 9790, complete genome."
NC_005945	"Bacillus anthracis str. Sterne chromosome, complete genome."
NC_005955	"Bartonella quintana str. Toulouse, complete genome."
NC_005956	"Bartonella henselae strain Houston-1, complete genome."
NC_005957	"[Bacillus thuringiensis] serovar konkukian str. 97-27 chromosome,"
NC_006055	"Mesoplasma florum L1 chromosome, complete genome."
NC_006085	"Propionibacterium acnes KPA171202, complete genome."
NC_006138	Desulfotalea psychrophila LSv54 chromosome.
NC_006142	"Rickettsia typhi str. Wilmington, complete genome."
NC_006177	"Symbiobacterium thermophilum IAM 14863 DNA, complete genome."
NC_006300	"Mannheimia succiniciproducens MBEL55E, complete genome."
NC_002942	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
NC_006347	"Bacteroides fragilis YCH46 DNA, complete genome."
NC_006350	"Burkholderia pseudomallei K96243 chromosome 1, complete sequence."
NC_006351	"Burkholderia pseudomallei K96243 chromosome 2, complete sequence."
NC_006348	"Burkholderia mallei ATCC 23344 chromosome 1, complete sequence."
NC_006371	Photobacterium profundum SS9 chromosome 2.
NC_006370	Photobacterium profundum SS9.
NC_006461	"Thermus thermophilus HB8 chromosome, complete genome."
NC_006512	"Idiomarina loihiensis L2TR, complete genome."
NC_006513	Azoarcus aromaticum EbN1 complete genome.
NC_006576	"Synechococcus elongatus PCC 6301 DNA, complete genome."
NC_006582	"Bacillus clausii KSM-K16 DNA, complete genome."
NC_002488	"Xylella fastidiosa 9a5c, complete genome."
NC_002936	"Dehalococcoides mccartyi 195, complete sequence."
NC_005295	"Ehrlichia ruminantium strain Welgevonden, complete genome."
NC_006624	"Thermococcus kodakarensis KOD1 DNA, complete genome."
NC_003450	"Corynebacterium glutamicum ATCC 13032 chromosome, complete genome."
NC_004307	"Bifidobacterium longum NCC2705 chromosome, complete genome."
NC_006677	"Gluconobacter oxydans 621H, complete genome."
NC_006833	"Wolbachia endosymbiont strain TRS of Brugia malayi, complete"
NC_002946	"Neisseria gonorrhoeae FA 1090 chromosome, complete genome."
NC_007005	"Pseudomonas syringae pv. syringae B728a chromosome, complete"
NC_007109	"Rickettsia felis URRWXCal2, complete genome."
NC_007164	Corynebacterium jeikeium K411 complete genome.
NC_007181	"Sulfolobus acidocaldarius DSM 639, complete genome."
NC_007168	"Staphylococcus haemolyticus JCSC1435 DNA, complete genome."
NC_007204	"Psychrobacter arcticus 273-4, complete genome."
NC_003910	"Colwellia psychrerythraea 34H, complete sequence."
NC_007295	"Mycoplasma hyopneumoniae J, complete genome."
NC_007298	"Dechloromonas aromatica RCB, complete genome."
NC_007333	"Thermobifida fusca YX, complete genome."
NC_007350	"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA,"
NC_007354	"Ehrlichia canis str. Jake, complete genome."
NC_007404	"Thiobacillus denitrificans ATCC 25259, complete genome."
NC_007406	"Nitrobacter winogradskyi Nb-255, complete genome."
NC_007426	Natronomonas pharaonis DSM 2160 complete genome.
NC_002977	"Methylococcus capsulatus str. Bath, complete genome."
NC_007484	"Nitrosococcus oceani ATCC 19707, complete genome."
NC_003112	"Neisseria meningitidis MC58 chromosome, complete genome."
NC_006349	"Burkholderia mallei ATCC 23344 chromosome 2, complete sequence."
NC_007503	"Carboxydothermus hydrogenoformans Z-2901, complete genome."
NC_007512	"Chlorobium luteolum DSM 273, complete genome."
NC_007514	"Chlorobium chlorochromatii CaD3, complete genome."
NC_007517	"Geobacter metallireducens GS-15, complete genome."
NC_007519	"Desulfovibrio alaskensis G20, complete genome."
NC_007575	"Sulfurimonas denitrificans DSM 1251, complete genome."
NC_007577	"Prochlorococcus marinus str. MIT 9312, complete genome."
NC_007614	"Nitrosospira multiformis ATCC 25196, complete genome."
NC_007606	"Shigella dysenteriae Sd197 chromosome, complete genome."
NC_007626	"Magnetospirillum magneticum AMB-1 DNA, complete genome."
NC_007633	"Mycoplasma capricolum subsp. capricolum ATCC 27343, complete"
NC_007644	"Moorella thermoacetica ATCC 39073 chromosome, complete genome."
NC_007643	"Rhodospirillum rubrum ATCC 11170 chromosome, complete genome."
NC_007645	"Hahella chejuensis KCTC 2396, complete genome."
NC_007677	"Salinibacter ruber DSM 13855 chromosome, complete genome."
NC_007681	"Methanosphaera stadtmanae DSM 3091, complete genome."
NC_007716	"Aster yellows witches'-broom phytoplasma AYWB, complete genome."
NC_007722	"Erythrobacter litoralis HTCC2594, complete genome."
NC_007759	"Syntrophus aciditrophicus SB, complete genome."
NC_007761	"Rhizobium etli CFN 42, complete genome."
NC_007777	"Frankia casuarinae, complete sequence."
NC_007778	"Rhodopseudomonas palustris HaA2, complete genome."
NC_007794	"Novosphingobium aromaticivorans DSM 12444, complete genome."
NC_007795	"Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete"
NC_007796	"Methanospirillum hungatei JF-1, complete genome."
NC_007797	"Anaplasma phagocytophilum HZ, complete genome."
NC_007798	"Neorickettsia sennetsu strain Miyayama, complete genome."
NC_007799	"Ehrlichia chaffeensis str. Arkansas, complete genome."
NC_007899	"Chlamydia felis Fe/C-56 Fe/C-56 DNA, complete genome."
NC_007908	"Rhodoferax ferrireducens T118, complete genome."
NC_007912	"Saccharophagus degradans 2-40, complete genome."
NC_007925	"Rhodopseudomonas palustris BisB18, complete genome."
NC_007498	"Pelobacter carbinolicus DSM 2380, complete genome."
NC_007929	"Lactobacillus salivarius UCC118 chromosome, complete genome."
NC_007940	"Rickettsia bellii RML369-C, complete genome."
NC_007955	"Methanococcoides burtonii DSM 6242, complete genome."
NC_007952	"Paraburkholderia xenovorans LB400 chromosome 2, complete sequence."
NC_007953	"Paraburkholderia xenovorans LB400 chromosome 3, complete sequence."
NC_007951	"Paraburkholderia xenovorans LB400 chromosome 1, complete sequence."
NC_007954	"Shewanella denitrificans OS217, complete genome."
NC_007963	"Chromohalobacter salexigens DSM 3043, complete genome."
NC_007964	"Nitrobacter hamburgensis X14, complete genome."
NC_007973	"Cupriavidus metallidurans CH34, complete genome."
NC_008025	"Deinococcus geothermalis DSM 11300, complete genome."
NC_008011	Lawsonia intracellularis PHE/MN1-00.
NC_008048	"Sphingopyxis alaskensis RB2256, complete genome."
NC_008054	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 complete
NC_008095	"Myxococcus xanthus DK 1622, complete genome."
NC_008148	"Rubrobacter xylanophilus DSM 9941, complete genome."
NC_000908	"Mycoplasma genitalium G37, complete genome."
NC_008228	"Pseudoalteromonas atlantica T6c, complete genome."
NC_008255	"Cytophaga hutchinsonii ATCC 33406, complete genome."
NC_002516	"Pseudomonas aeruginosa PAO1, complete genome."
NC_008209	"Roseobacter denitrificans OCh 114, complete genome."
NC_008261	"Clostridium perfringens ATCC 13124, complete genome."
NC_008260	"Alcanivorax borkumensis SK2, complete genome."
NC_008268	"Rhodococcus jostii RHA1, complete genome."
NC_008278	"Frankia alni str. ACN14A chromosome, complete sequence."
NC_008312	"Trichodesmium erythraeum IMS101, complete genome."
NC_008340	"Alkalilimnicola ehrlichii MLHE-1, complete genome."
NC_008344	"Nitrosomonas eutropha C91, complete genome."
NC_008345	"Shewanella frigidimarina NCIMB 400, complete genome."
NC_008346	"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete"
NC_008347	"Maricaulis maris MCS10, complete genome."
NC_008358	"Hyphomonas neptunium ATCC 15444, complete genome."
NC_008435	"Rhodopseudomonas palustris BisA53, complete genome."
NC_008508	"Leptospira borgpetersenii serovar Hardjo-bovis L550 chromosome 1,"
NC_008509	"Leptospira borgpetersenii serovar Hardjo-bovis L550 chromosome 2,"
NC_008497	"Lactobacillus brevis ATCC 367, complete genome."
NC_008528	"Oenococcus oeni PSU-1, complete genome."
NC_008525	"Pediococcus pentosaceus ATCC 25745, complete genome."
NC_008526	"Lactobacillus paracasei ATCC 334 chromosome, complete genome."
NC_008513	"Buchnera aphidicola BCc, complete genome."
NC_008531	"Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete"
NC_008530	"Lactobacillus gasseri ATCC 33323, complete genome."
NC_008554	"Syntrophobacter fumaroxidans MPOB, complete genome."
NC_008570	"Aeromonas hydrophila subsp. hydrophila ATCC 7966 chromosome,"
NC_008576	"Magnetococcus marinus MC-1, complete genome."
NC_008578	"Acidothermus cellulolyticus 11B, complete genome."
NC_007520	"Thiomicrospira crunogena XCL-2, complete genome."
NC_008593	"Clostridium novyi NT, complete genome."
NC_008596	"Mycobacterium smegmatis str. MC2 155 chromosome, complete genome."
NC_008609	"Pelobacter propionicus DSM 2379, complete genome."
