ID	Name
NC_007705	Xanthomonas oryzae pv. oryzae MAFF 311018
NC_007716	Aster yellows witches'-broom phytoplasma AYWB
NC_007712	Sodalis glossinidius str. 'morsitans'
NC_007722	Erythrobacter litoralis HTCC2594
NC_002973	Listeria monocytogenes serotype 4b str. F2365
NC_007759	Syntrophus aciditrophicus SB
NC_007760	Anaeromyxobacter dehalogenans 2CP-C
NC_007775	Synechococcus sp. JA-3-3Ab
NC_007776	Synechococcus sp. JA-2-3B'a(2-13)
NC_007777	Frankia sp. CcI3
NC_007778	Rhodopseudomonas palustris HaA2
NC_007793	Staphylococcus aureus subsp. aureus USA300_FPR3757
NC_007794	Novosphingobium aromaticivorans DSM 12444
NC_007797	Anaplasma phagocytophilum HZ
NC_007798	Neorickettsia sennetsu str. Miyayama
NC_007799	Ehrlichia chaffeensis str. Arkansas
NC_007802	Jannaschia sp. CCS1
NC_007880	Francisella tularensis subsp. holarctica LVS
NC_007899	Chlamydophila felis Fe/C-56
NC_007908	Rhodoferax ferrireducens T118
NC_007925	Rhodopseudomonas palustris BisB18
NC_007498	Pelobacter carbinolicus DSM 2380
NC_007946	Escherichia coli UTI89
NC_007947	Methylobacillus flagellatus KT
NC_007952	Burkholderia xenovorans LB400 chromosome 2
NC_007953	Burkholderia xenovorans LB400 chromosome 3
NC_007951	Burkholderia xenovorans LB400 chromosome 1
NC_007948	Polaromonas sp. JS666
NC_007954	Shewanella denitrificans OS217
NC_007958	Rhodopseudomonas palustris BisB5
NC_007963	Chromohalobacter salexigens DSM 3043
NC_007964	Nitrobacter hamburgensis X14
NC_007969	Psychrobacter cryohalolentis K5
NC_007973	Cupriavidus metallidurans CH34
NC_007984	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
NC_008009	Candidatus Koribacter versatilis Ellin345
NC_008025	Deinococcus geothermalis DSM 11300
NC_008011	Lawsonia intracellularis PHE/MN1-00
NC_008044	Ruegeria sp. TM1040
NC_008048	Sphingopyxis alaskensis RB2256
NC_008054	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
NC_008027	Pseudomonas entomophila L48
NC_008060	Burkholderia cenocepacia AU 1054 chromosome 1
NC_008061	Burkholderia cenocepacia AU 1054 chromosome 2
NC_008062	Burkholderia cenocepacia AU 1054 chromosome 3
NC_008086	Helicobacter pylori HPAG1
NC_008095	Myxococcus xanthus DK 1622
NC_008146	Mycobacterium sp. MCS
NC_008148	Rubrobacter xylanophilus DSM 9941
NC_008150	Yersinia pestis Antiqua
NC_008149	Yersinia pestis Nepal516
NC_008228	Pseudoalteromonas atlantica T6c
NC_008229	Helicobacter acinonychis str. Sheeba
NC_008254	Chelativorans sp. BNC1
NC_008255	Cytophaga hutchinsonii ATCC 33406
NC_008245	Francisella tularensis subsp. tularensis FSC198
NC_008209	Roseobacter denitrificans OCh 114
NC_008261	Clostridium perfringens ATCC 13124
NC_008262	Clostridium perfringens SM101
NC_008258	Shigella flexneri 5 str. 8401
NC_008260	Alcanivorax borkumensis SK2
NC_008268	Rhodococcus jostii RHA1
NC_008309	Haemophilus somnus 129PT
NC_008312	Trichodesmium erythraeum IMS101
NC_008313	Ralstonia eutropha H16 chromosome 1
NC_008319	Synechococcus sp. CC9311
NC_008321	Shewanella sp. MR-4
NC_008322	Shewanella sp. MR-7
NC_008340	Alkalilimnicola ehrlichii MLHE-1
NC_008343	Granulibacter bethesdensis CGDNIH1
NC_008345	Shewanella frigidimarina NCIMB 400
NC_008347	Maricaulis maris MCS10
NC_008358	Hyphomonas neptunium ATCC 15444
NC_008369	Francisella tularensis subsp. holarctica OSU18
NC_008435	Rhodopseudomonas palustris BisA53
NC_008463	Pseudomonas aeruginosa UCBPP-PA14
NC_008380	Rhizobium leguminosarum bv. viciae 3841
NC_008510	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197 chromosome 1
NC_008511	Leptospira borgpetersenii serovar Hardjo-bovis JB197 chromosome chromosome 2
NC_008497	Lactobacillus brevis ATCC 367
NC_008528	Oenococcus oeni PSU-1
NC_008513	Buchnera aphidicola str. Cc (Cinara cedri)
NC_008533	Streptococcus pneumoniae D39
NC_008536	Candidatus Solibacter usitatus Ellin6076
NC_008530	Lactobacillus gasseri ATCC 33323
NC_008541	Arthrobacter sp. FB24
NC_008544	Burkholderia cenocepacia HI2424 chromosome 3
NC_008542	Burkholderia cenocepacia HI2424 chromosome 1
NC_008543	Burkholderia cenocepacia HI2424 chromosome 2
NC_008314	Ralstonia eutropha H16 chromosome 2
NC_008554	Syntrophobacter fumaroxidans MPOB
NC_008555	Listeria welshimeri serovar 6b str. SLCC5334
NC_008563	Escherichia coli APEC O1
NC_008577	Shewanella sp. ANA-3 chromosome 1
NC_008576	Magnetococcus marinus MC-1
NC_008578	Acidothermus cellulolyticus 11B
NC_007520	Thiomicrospira crunogena XCL-2
NC_008593	Clostridium novyi NT
NC_008595	Mycobacterium avium 104
NC_008599	Campylobacter fetus subsp. fetus 82-40
